config_name,run_number,window_start_s,window_end_s,label,controller_delay_mean_s,controller_delay_max_s,controller_delay_last_s,controller_packet_error_rate_mean,controller_packet_error_rate_max,controller_packet_error_rate_last,receiver_app0_packet_count,receiver_app0_seq_progress,receiver_app0_last_seq,receiver_app0_e2e_delay_mean_s,receiver_app0_e2e_delay_max_s,receiver_app0_throughput_mean_bps,receiver_app0_throughput_last_bps,receiver_app1_packet_count,receiver_app1_seq_progress,receiver_app1_last_seq,receiver_app1_e2e_delay_mean_s,receiver_app1_e2e_delay_max_s,receiver_app1_throughput_mean_bps,receiver_app1_throughput_last_bps,receiver_total_packet_count
StagedRealistic,0,9.0,10.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,0,0,,,,0.0,0.0,0,0,,,,0.0,0.0,0
StagedRealistic,0,10.0,11.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,1,1,0,0.00020496,0.00020496,3723.6363636363635,0.0,0,0,,,,0.0,0.0,1
StagedRealistic,0,11.0,12.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,1,1,1,0.00019324,0.00020496,3723.6363636363635,0.0,0,0,,,,0.0,0.0,1
StagedRealistic,0,12.0,13.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,1,1,2,0.00018928,0.00019704,3723.6363636363635,0.0,4,4,3,5.864e-05,5.864e-05,3723.6363636363635,0.0,5
StagedRealistic,0,13.0,14.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,1,1,3,0.00018928,0.00019704,3723.6363636363635,0.0,4,4,7,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,14.0,15.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,1,1,4,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,11,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,15.0,16.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,1,1,5,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,15,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,16.0,17.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,1,1,6,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,19,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,17.0,18.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,1,1,7,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,23,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,18.0,19.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,1,1,8,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,27,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,19.0,20.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,1,1,9,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,31,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,20.0,21.0,degraded,0.00025789917574999997,0.000718566148,0.000718566148,7.875e-05,0.00021,0.00021,1,1,10,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,35,0.000211412222,0.000371370555,3723.6363636363635,0.0,5
StagedRealistic,0,21.0,22.0,degraded,0.00106416711075,0.001650701764,0.001650701764,0.00028875,0.00042,0.00042,1,1,11,0.0005407530740000001,0.000899986148,3723.6363636363635,0.0,4,4,39,0.0009037463234000001,0.001227374383,3723.6363636363635,0.0,5
